ID,smiles,docking_score,flag,split
122184817,Cc1ccc(-c2cc(CO[N+](=O)[O-])nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-10.5,1,train
10227082,CCOC(=O)Cn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,-10.952,1,train
22911767,CS(=O)(=O)c1ccc(-c2sc(CC#N)nc2-c2ccc(F)cc2)cc1,-10.617,1,train
11340629,Cc1cc(=O)c(Oc2ccc(I)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,-9.35,1,train
2765724,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,-10.971,1,train
44456618,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(N)cc3)cc(C(F)(F)F)n2)cc1,-10.707,1,train
118706111,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C[C@H]2c2cccc3c2OCO3)cc1,-10.143,1,train
10362126,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1C,-11.671,1,train
44327825,COc1cc2c(cc1F)-c1c(c(C(F)F)nn1-c1ccc(S(N)(=O)=O)cc1)SC2,-11.703,1,train
X095,CS(=O)(=O)c1ccc(-n2cc(CO)nc2-c2ccc(Cl)cc2)cc1,-10.12,1,train
21472759,C[C@]1(O)OC(=O)C(c2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,-11.189,1,train
145990110,CS(=O)(=O)c1ccc(-c2conc2-c2ccc(F)cc2)cc1,-9.654,1,train
10095369,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(C(F)(F)F)(C(F)(F)F)C2)cc1,-10.851,1,train
9841276,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1,-10.797,1,train
44456542,CC(C)(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,-10.912,1,train
11035516,CS(=O)(=O)c1ccc(-c2cnc(Cl)n2-c2ccc(F)cc2)cc1,-10.425,1,train
X011_B,Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,-9.548,1,train
10646723,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCCS3)cc1,-11.74,1,train
10501190,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc(Cl)cc2)cc1,-10.384,1,train
118705853,CS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C[C@H]2c2cccc3ccccc23)cc1,-11.274,1,train
9843356,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,-11.068,1,train
101897868,CCOC(=O)Cc1cc(-c2ccc(S(N)(=O)=O)cc2)n(-c2cccc(F)c2)c1C,-11.086,1,train
155546386,NS(=O)(=O)c1ccc(-n2nc(C(=O)N3CCOCC3)cc2-c2cccc(Cl)c2)cc1,-9.652,1,train
9908624,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,-6.437,1,train
10155819,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1,-11.21,1,train
11530051,Cc1onc(-c2ccc(F)cc2)c1-c1ccc(S(N)(=O)=O)cc1,-10.259,1,train
44371479,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)cc2)cc1,-10.568,1,train
X099,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,-10.831,1,train
122393225,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)c3cccc4ccn2c43)cc1,-11.965,1,train
10108866,CS(=O)(=O)c1ccc(-c2cn3c(c2-c2ccc(F)cc2)CCC3)cc1,-11.443,1,train
10812437,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1F,-11.576,1,train
162672405,C/C(=N/NC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,-8.312,1,train
