ID,smiles,docking_score,flag,weight_actives,weight_lowscores,split_random_1,split_random_2,split_random_3,split_random_4,split_random_5,split_scaffold_1,split_scaffold_2,split_scaffold_3,split_scaffold_4,split_scaffold_5
ZINC36975609,Cc1cc(NC(=O)/C=C/c2ccc(Br)s2)sc1C(=O)O,-5.984,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,val
ZINC66201917,Cc1ccc(NC(=O)c2ccc(OC[C@H]3CCCO3)c(Br)c2)c(Br)c1,-4.053,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,val,train,train,train,train
ZINC45695610,NC(=O)CSc1ccccc1NC(=O)N[C@@H]1CCC[C@@H](C(F)(F)F)C1,-7.016,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,train
ZINC49264735,Cc1cc(Br)cc(Cl)c1NC(=O)NC[C@H]1CCCOC1,-7.088,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,train,train,train
ZINC05931434,CC[C@H](C)Sc1nc(=O)c2c([nH]1)N=C1CCCC(=O)C1[C@@H]2c1ccc(N(C)C)cc1,-6.989,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC35871408,CCNC(=O)C1Cc2cc(C(F)(F)F)ccc2N2CCN(c3cccc(OC)c3)C[C@H]12,-7.693,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,train
ZINC39195597,COc1ccc(/C=C/C(=O)N2CCC[C@H]2c2nnc3c(C(F)(F)F)cccn23)cc1,-6.719,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,val,train,train,train,train
ZINC02919703,Fc1ccccc1[C@H]1C[C@@H](c2ccc(Cl)cc2OC(F)F)Nc2ncnn21,-8.987,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,val,train,train,train
ZINC55305114,Br[C@H](c1ccc2c(c1)CCCO2)[C@@H]1COCCO1,-7.612,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,val,train,train,train
ZINC04858071,Cc1ccc([C@@H]2CC(c3cccs3)=NN2C(=O)CCC(=O)O)cc1,-9.389,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,val,train,train,train
ZINC48760077,Cc1cc(=O)[nH]c(Sc2ccc(Br)cc2[N+](=O)[O-])n1,-8.991,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,val,train,train,train
ZINC05242839,CC(C)(C)c1cc(C(F)(F)C(F)F)n(-c2nc(C(=O)O)cs2)n1,-8.528,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,train,train,val
ZINC05185697,O=C(O)C(Br)[C@@]12C[C@@H]3C[C@@H](C[C@@](Br)(C3)C1)C2,-5.426,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,train,train,train,train
ZINC66797486,O=C(Nc1ccc(NC(=O)C2CC2)nc1)c1cc2c(s1)CCCC2,-5.599,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC12182073,CCc1c(C)sc2nc(C(C)C)n3c(=O)n(CC(N)=O)nc3c12,-9.286,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,train,train,val,train,train
ZINC64936032,CCc1nc(C)c(C(=O)Nc2ccc3c(c2)CCCN3C)s1,-7.26,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,train,train,train,val
ZINC07957220,C[C@H]1CCCC[C@H]1NC(=O)c1ccc(-c2nc3ccccc3s2)o1,-6.957,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC04124229,CCCOC(=O)c1c(NC(=O)C2C(C(=O)O)[C@H]3C=C[C@@H]2C3)sc2c1CCCC2,-8.488,0,0.5337353433835846,0.5261211280628756,train,val,train,train,train,train,train,val,train,train
ZINC11216796,CCn1c(SCC(=O)N2CCO[C@H](C)C2)nc2scc(-c3cccs3)c2c1=O,-8.012,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
ZINC55304461,COc1c(Br)cc(Cl)cc1[C@@H](Br)[C@H]1COCCO1,-6.93,0,0.5337353433835846,0.5261211280628756,train,train,train,train,train,val,val,train,train,train
ZINC67116568,CCOC(=O)C1=NC(=S)N[C@H](c2cc(C)cc(C)c2)C1C(C)=O,-7.495,0,0.5337353433835846,0.5261211280628756,train,train,val,train,train,train,val,train,train,train
ZINC04243175,Clc1ccc2nc(Nc3ccc(Br)cc3)sc2c1,-7.055,0,0.5337353433835846,0.5261211280628756,train,train,train,train,val,train,train,val,train,train
ZINC37239003,Cc1cc(S(=O)(=O)N2CCC(CO)CC2)sc1C(=O)O,-7.834,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,val
11036302,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,-10.603,1,7.910625620655412,10.070796460176991,train,val,train,train,train,train,train,train,val,train
ZINC14309391,CCNC(=O)C(C)NC(=O)C1CCCN(S(=O)(=O)c2ccc(Br)cc2)C1,-4.471,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,train,train,train
ZINC12856063,Cc1nc(Sc2nc(CN3CCOCC3)nc3sc4c(c23)CC[C@H](C)C4)oc1C,-7.757,0,0.5337353433835846,0.5261211280628756,train,train,train,val,train,train,train,val,train,train
