ID,smiles,docking_score,flag,split_1,split_2,split_3,split_4,split_5
ZINC37414859,CO[C@H]1CCCC[C@@H]1Nc1cc2c(cc1Br)OCCO2,-7.089,0,train,train,val,train,train
9851770,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,-11.377,1,train,val,train,train,train
10644380,CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1,-10.499,1,train,train,train,train,train
ZINC66859794,Cn1ncc2c(NC[C@@]3(O)CCCc4ccccc43)ncnc21,-7.59,0,train,train,train,val,train
ZINC37493656,CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)c2ccc(Br)cc2)C1,-8.055,0,train,train,train,train,train
10201744,CC(C)=CCn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,-10.959,1,train,train,val,train,train
CHEMBL75896,Nc1c(CC(=O)O)cccc1C(=O)C1CCCCC1,-7.652,1,train,train,train,train,val
ZINC05409482,Cc1cc(O)c([C@@]2(C)CC[C@@H]3C[C@@]32C)cc1Br,-6.853,0,train,val,train,train,train
ZINC05544015,C=CCOc1ccc([C@H]2NC(=O)c3c(sc4c3CCCC4)N2)cc1,-2.501,0,train,train,val,train,train
ZINC09403236,CC1(C)C[C@@H]2C[C@@](C)(CN2C(=O)COC(=O)/C=C/c2ccc(I)o2)C1,-5.898,0,train,val,train,train,train
ZINC39505793,O=S(=O)(Oc1ccccc1)[C@@H]1CN(F)[C@@]2(CC[C@H](Cl)C2)C1,-7.935,0,train,train,train,val,train
10088207,Cc1nc(-c2ccc(C)s2)c(-c2ccc(S(C)(=O)=O)cc2)o1,-9.874,1,train,val,train,train,train
ZINC42603123,C[C@@H]1CCCC[C@@H]1N(C)c1ccc2scnc2c1N,-7.852,0,train,train,train,train,train
ZINC39521351,Oc1ccccc1N1[C@@H](O)CCC[C@@]12CCC[C@H](I)C2,-7.385,0,train,train,val,train,train
ZINC20517269,C[C@H]1C[C@H](Oc2cccc(Cl)c2C(=O)O)CC(C)(C)C1,-8.204,0,train,train,train,val,train
ZINC39325002,N#CC1C(=N)C(C#N)(C#N)[C@H](c2cc(Br)ccc2F)[C@H]2CSCC=C12,-8.07,0,train,train,train,val,train
44394201,CS(=O)(=O)c1ccc(-c2ccc(Cl)c(Cl)c2-c2ccc(F)cc2)cc1,-11.077,1,train,train,train,train,train
ZINC13464165,CC(C)[C@@H]1CC[C@H](C)C[C@@H]1NC(=O)c1cccc2ccccc12,-6.566,0,train,train,train,train,val
