ID,smiles,docking_score,split_random,flag,weight_actives,split_scaffold,weight_lowscores
ZINC23346271,CC(Sc1nnc(-c2ccccc2)o1)C(=O)N1CCC[C@H]1c1cccs1,-6.813,train,0,0.5337353433835846,train,0.5261211280628756
ZINC42135682,Oc1[nH]c2cccc(Cl)c2c1Nc1ccc(Br)cc1,-8.018,train,0,0.5337353433835846,train,0.5261211280628756
ZINC31810854,OCCCN1CNC2=[N+](C1)c1nc3ccccc3n1[C@@H](c1ccc(F)cc1F)N2,-8.508,train,0,0.5337353433835846,train,0.5261211280628756
ZINC59366049,CCOC(=O)C1C(=O)/C(=C/c2ccccc2C)SC1=Nc1ccc(C)cc1,-9.117,train,0,0.5337353433835846,train,0.5261211280628756
ZINC22988483,Brc1cccc(CSc2nnc(-c3ccncc3)n2C2CC2)c1,-8.068,train,0,0.5337353433835846,train,0.5261211280628756
ZINC49169279,Cc1occc1C(=O)C(C#N)C(=O)c1cc2cccc(Br)c2o1,-8.079,train,0,0.5337353433835846,val,0.5261211280628756
ZINC40305950,CC[C@@H]1CCCN1C(=O)c1cc(N)c(C)s1,-7.997,train,0,0.5337353433835846,train,0.5261211280628756
ZINC65347252,CCc1ccc(-c2cc(C(=O)O)c[nH]c2=O)cc1,-8.506,train,0,0.5337353433835846,train,0.5261211280628756
ZINC32013338,CC(C)C[C@H](O)c1ccc2c(c1)CCCC2,-8.808,train,0,0.5337353433835846,train,0.5261211280628756
ZINC10187643,O=C(C1COc2ccccc2O1)N(Cc1ccccn1)c1nc2ccc(F)cc2s1,-9.971,train,0,0.5337353433835846,train,0.5261211280628756
ZINC40861971,CN(Cc1ccc(Br)cc1)S(=O)(=O)N1CCNCC1,-7.418,train,0,0.5337353433835846,train,0.5261211280628756
ZINC17103847,Cc1ccccc1-n1cnnc1SC(C)C(=O)Nc1ccc(F)c(Cl)c1,-6.159,train,0,0.5337353433835846,train,0.5261211280628756
ZINC32774202,O=C(C1CC=CCC1)N1CCN(Cc2ccsc2)CC1,-8.348,train,0,0.5337353433835846,train,0.5261211280628756
ZINC20709335,O=[N+]([O-])c1ccc(O)c([C@H]2Nc3c(Br)cccc3[C@@H]3C=CC[C@@H]23)c1,-8.729,train,0,0.5337353433835846,train,0.5261211280628756
ZINC16846006,Cc1ccc(-c2csc3c(=O)n(C)c(SCC(N)=O)nc23)cc1,-7.994,train,0,0.5337353433835846,train,0.5261211280628756
ZINC48484356,Cc1cc(C)c(C(=O)Cn2cc(Br)ccc2=O)c(C)c1,-8.626,train,0,0.5337353433835846,train,0.5261211280628756
ZINC04606837,CCCCC(CC)C(=O)N1CCS[C@@H]1c1ccc(Cl)cc1Cl,-7.55,train,0,0.5337353433835846,train,0.5261211280628756
ZINC57853662,Cc1cc(C)cc(Cn2cc(Br)ccc2=O)c1,-8.261,train,0,0.5337353433835846,train,0.5261211280628756
ZINC37051535,Cn1ncc2c1CCC[C@H]2Nc1ccc(Br)cc1F,-7.749,train,0,0.5337353433835846,train,0.5261211280628756
ZINC45008040,CCCn1c2ccccc2c2nnc(SCc3nnc(-c4ccco4)o3)nc21,-7.52,train,0,0.5337353433835846,train,0.5261211280628756
ZINC48985928,Cn1c(C(=O)C(C#N)C(=O)N2CCCCC2)c(Cl)c2ccccc21,-3.618,train,0,0.5337353433835846,val,0.5261211280628756
ZINC40029640,C=CCN1C(=O)C(=O)C(C(=O)c2cccc(OCCCC)c2)[C@H]1c1ccc(Br)cc1,-6.502,train,0,0.5337353433835846,train,0.5261211280628756
ZINC37121724,CCCC(CCC)Nc1cc(Br)ccc1Br,-7.171,train,0,0.5337353433835846,train,0.5261211280628756
ZINC38502542,Cc1c(Cl)ccc2sc(N(Cc3cccnc3)C(=O)c3ccnn3C(C)C)nc12,-8.605,train,0,0.5337353433835846,train,0.5261211280628756
ZINC61120422,Cc1cc(NC(=O)c2ncccc2O)ccc1F,-7.47,train,0,0.5337353433835846,train,0.5261211280628756
ZINC50337842,C[C@H](Nc1cc(Cl)cc(Cl)c1)c1ccsc1,-7.544,train,0,0.5337353433835846,val,0.5261211280628756
ZINC48506576,O=C(c1cc(Br)ccc1I)N1CCO[C@@H]2CCCC[C@H]21,-7.707,train,0,0.5337353433835846,train,0.5261211280628756
ZINC33059742,C[C@H]1CCc2nc3ncn(Cc4c(F)cccc4Cl)c(=O)c3cc2C1,-6.913,train,0,0.5337353433835846,train,0.5261211280628756
ZINC35247383,O=C(Nc1cn[nH]c1)c1cc([N+](=O)[O-])ccc1I,-6.952,train,0,0.5337353433835846,train,0.5261211280628756
11429689,CS(=O)(=O)c1ccc(-c2nc(NCc3ccccc3)cc(C(F)(F)F)n2)cc1,-10.41,train,1,7.910625620655412,train,10.070796460176991
25261944,CCCn1cc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(CO)cc2)c1O,-11.545,train,1,7.910625620655412,train,10.070796460176991
ZINC48530165,Cc1ccsc1C(=O)C(C#N)C(=O)c1csc(Br)c1,-8.094,train,0,0.5337353433835846,val,0.5261211280628756
ZINC00920978,CC(C)(C)[C@H]1CCc2c(sc(NC(=O)c3ccccc3)c2C(=O)N2CCOCC2)C1,-8.053,train,0,0.5337353433835846,train,0.5261211280628756
ZINC10156817,O=C1C[C@H](c2cccc(Cl)c2)Cc2c1cnn2-c1nc2ccccc2s1,-8.794,train,0,0.5337353433835846,train,0.5261211280628756
ZINC39238890,O[C@H]1/C=C\CCCCCCCCC1,-7.363,train,0,0.5337353433835846,val,0.5261211280628756
ZINC42010481,Cc1occc1C(=O)N1CCC[C@@H]1c1ccccc1,-8.245,train,0,0.5337353433835846,val,0.5261211280628756
ZINC17106949,CC1C(=O)C(Br)C[C@]2(C)CC[C@H]3C(C)C(=O)O[C@H]3[C@@H]12,-8.085,train,0,0.5337353433835846,val,0.5261211280628756
ZINC14463842,Cc1c(Cl)ccc2c1N[C@@H](c1cccc3ccccc13)[C@@H]1CC=C[C@H]21,-8.384,train,0,0.5337353433835846,train,0.5261211280628756
9918457,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)CC2)cc1,-10.735,train,1,7.910625620655412,train,10.070796460176991
ZINC17163061,O=C(O)C1Sc2[nH]c(=O)sc2[C@H]2c3ccccc3OC(=O)C12,-5.789,train,0,0.5337353433835846,train,0.5261211280628756
ZINC57467638,CCN(Cc1ccc(Br)s1)C(=O)c1cnc(C)cn1,-7.433,train,0,0.5337353433835846,val,0.5261211280628756
