ID,smiles,docking_score,split_random,flag,weight_actives,split_scaffold,weight_lowscores
ZINC13451071,Cc1nc(S[C@@H](C)C(=O)NC(=O)NC(C)(C)C)[nH]c(=O)c1CCC(=O)O,-7.387,train,0,0.5590832952641998,train,0.539529757531227
ZINC39858599,Cc1cccn2c(=O)c(/C=C(/C#N)C(=O)Nc3ccc(Cl)cc3)c(Oc3ccc(Cl)cc3)nc12,-4.681,train,0,0.5590832952641998,train,0.539529757531227
ZINC15040403,C[C@@H](NC(=O)CNC(=O)CNC(=O)c1ccc(Cl)cc1Cl)c1cc2ccccc2o1,-7.026,train,0,0.5590832952641998,val,0.539529757531227
ZINC37139886,Cc1nc2ccc(N[C@H]3COc4cc(O)ccc43)cc2[nH]1,-9.322,train,0,0.5590832952641998,train,6.824349442379182
CHEMBL183950,COc1ccc(-c2[nH]nc3c2C(=O)c2c(NC(=O)NNC(=O)Nc4ccccc4)cccc2-3)cc1,-11.424,train,1,4.731314432989691,train,6.824349442379182
ZINC67066589,O=C(CCC1CCCCC1)NNC(=O)NCCN1Cc2ccccc2C1,-6.761,train,0,0.5590832952641998,train,0.539529757531227
ZINC04755972,Cc1ccn2c(NC(C)(C)C)c(-c3cccc(OC(=O)/C=C/c4ccccc4)c3)nc2c1,-5.595,train,0,0.5590832952641998,train,0.539529757531227
ZINC45166466,C[C@@H]1CC[C@@H](C(N)=O)CN1S(=O)(=O)c1c(N)cccc1Cl,-6.214,train,0,0.5590832952641998,train,0.539529757531227
ZINC29811683,C=CCNC(=O)Nc1ccc(N[C@@H](C)C(=O)Nc2cc(C)on2)cc1,-4.948,train,0,0.5590832952641998,val,0.539529757531227
ZINC42027150,Nc1cc(N)cc(-c2nnnn2-c2ccc(Br)cc2)c1,-7.281,train,0,0.5590832952641998,train,0.539529757531227
ZINC37861822,O=C(c1ccc(Cl)s1)N1CCCC[C@@H]1CCO,-6.569,train,0,0.5590832952641998,train,0.539529757531227
ZINC33310192,CCCNC(=O)Nc1ccc(NC(=O)N2CCC(C(=O)NCC(C)C)CC2)cc1,-4.308,train,0,0.5590832952641998,train,0.539529757531227
71579250,CC[C@H](Nc1nc(NCc2cc(F)ccc2O)c2ncn(C(C)C)c2n1)[C@@H](C)O,-9.892,train,1,4.731314432989691,train,6.824349442379182
ZINC45921363,CC[C@H](C)NC(=O)C1CCN(c2ccc(Sc3ccc(C)cc3)nn2)CC1,-5.64,train,0,0.5590832952641998,train,0.539529757531227
ZINC65137928,CC(C)CCNC(=O)c1nc(-c2ccc3c(c2)OCC(=O)N3C)no1,-5.901,train,0,0.5590832952641998,train,0.539529757531227
ZINC04808406,CCC(C)(C)c1ccc(OCC(=O)Nc2c[nH]c(=O)[nH]c2=O)cc1,-6.439,train,0,0.5590832952641998,val,0.539529757531227
ZINC38623654,Cc1c(C(=O)[C@@H]2[C@H](C=C(Cl)Cl)C2(C)C)c(O)n(Cc2ccc(F)cc2)c(=O)c1C#N,-5.282,train,0,0.5590832952641998,train,0.539529757531227
ZINC36628559,CCC[N@@]1CCc2c(sc(NC(=O)C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)c2C(N)=O)C1,-5.899,train,0,0.5590832952641998,val,0.539529757531227
ZINC37404581,C#CCNC(=O)[C@@H](C)Sc1nc(=O)[nH]c(C)c1C(=O)O,-4.203,train,0,0.5590832952641998,train,0.539529757531227
ZINC64220395,CC(=O)N[C@@H](CC1=c2ccccc2=NC1)C(=O)NC1CCCCCCC1,-7.8,train,0,0.5590832952641998,val,0.539529757531227
ZINC54158534,Cc1cccc([N+](=O)[O-])c1-c1nc([C@H](C)CN)no1,-7.222,train,0,0.5590832952641998,train,0.539529757531227
ZINC36572017,CCCN(C(=O)CCS)[C@H](C(=O)NCS(=O)(=O)c1ccc(C)cc1)c1c(O)cc(O)cc1O,-6.758,train,0,0.5590832952641998,train,0.539529757531227
ZINC63878464,COc1cc(C)c(S(=O)(=O)Nc2cc(C#N)ccc2C)cc1C,-5.731,train,0,0.5590832952641998,train,0.539529757531227
ZINC05055768,CNC(=O)c1c(NC(=O)c2cc(Cl)cc(Cl)c2)sc2c1CCCCC2,-6.871,train,0,0.5590832952641998,val,0.539529757531227
ZINC63162074,CN(C)C1=CC=C(CNC(=O)Nc2cc(C(F)(F)F)c[nH]c2=O)CN1,-9.077,train,0,0.5590832952641998,train,6.824349442379182
ZINC31652739,COC(=O)Cc1cc(O)n(-c2ccc(C(=O)N(C)Cc3cnn(-c4ccccc4)c3)cc2)n1,-7.599,train,0,0.5590832952641998,train,0.539529757531227
ZINC00997488,CCOc1ccc([C@H]2C3=C(O)CC(C)(C)C=C3Nc3ccccc3N2C(C)=O)cc1,-4.413,train,0,0.5590832952641998,train,0.539529757531227
ZINC04059589,Nc1ncnc(Nc2cc(Cl)c(Cl)cc2Cl)c1[N+](=O)[O-],-6.162,train,0,0.5590832952641998,train,0.539529757531227
ZINC43936939,C[C@@H](NC(=O)OC(C)(C)C)C(=O)NCc1ccc(S(N)(=O)=O)s1,-5.232,train,0,0.5590832952641998,train,0.539529757531227
ZINC15225160,CNC(=O)NC(=O)[C@H](C)OC(=O)c1cc(-c2ccc(Cl)s2)nc2ccccc12,-7.894,train,0,0.5590832952641998,val,0.539529757531227
ZINC39523342,CCO[C@@H]1CCC[C@@]2(CCC[C@@H](O)C2)N1O,-6.119,train,0,0.5590832952641998,train,0.539529757531227
