ID,smiles,docking_score,flag,split,Fingerprint,TSNE_1,TSNE_2
CHEMBL470439,CCc1cc2c(N/N=C\c3cccs3)ncnc2s1,-8.308,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102960>,9.265367,-27.104214
52942207,CNC(=O)c1cn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(O[C@H]4CC[N@@](C)CC4)cc3)nc1-2,-8.796,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102a40>,39.604923,42.565845
24769422,C[C@@H](Nc1cccc(O)c1)C(=O)Nc1nc2ccc3[nH]ncc3c2s1,-6.248,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102b20>,-37.19207,39.91004
CHEMBL398774,NNC(=O)CSc1nnc(Cc2csc(NC(=O)c3ccccc3)n2)n1NC(=O)c1ccc(Cl)cc1,-4.948,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102c00>,1.4445789,-29.558577
CHEMBL453217,Cc1cc(C)cc(Nc2nccc(-c3nc(C)cs3)n2)c1,-9.185,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102ce0>,7.829843,20.272606
155151783,Cc1[nH]nc2cc(F)c3nc(-c4cn[nH]c4C(F)(F)F)c4c(c3c12)CCCC4,-8.403,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102dc0>,-23.313913,34.14647
137657923,CC(=O)N1CCC(Nc2ncnc3c2ncn3[C@H]2C[C@@H](NC(=O)c3cccc(C)n3)C2)CC1,-7.557,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102ea0>,46.16643,-17.007723
145984884,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(C(N)=O)cc3)nc1-2,-10.106,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5102f80>,32.22106,34.34014
CHEMBL5269468,C[C@@H](CO)Nc1nc(N)c(/[N+]([O-])=N/C#N)c(OCC2CCCCC2)n1,-6.503,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103060>,18.912718,-4.607801
168271282,CC(C)c1[nH]nc2c(NCc3ccc(-n4ccnc4)cc3)nc(SCCO)nc12,-9.756,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103140>,30.053064,-58.57303
46233220,CCOC(=O)N1CCC(C(=O)N2CCC(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)CC2)CC1,-9.63,1,train,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x783ba5103220>,23.85925,48.346325
