ID,smiles,docking_score,flag,split_1,split_2,split_3,split_4,split_5
ZINC40399166,Cc1ccccc1NC(=O)[C@@H]1CC(=O)Nc2nc(Nc3ccc(Cl)cc3)nc(O)c21,-8.34,0,train,train,train,val,train
ZINC35474420,CCOc1cc(/C=N\NC(=O)c2n[nH]c3c2CCCC3)ccc1O,-7.901,0,train,train,train,val,train
124155169,CC(=O)N[C@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(F)cn2)C1,-10.041,1,train,train,train,val,train
46233288,Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)C4CCN(S(=O)(=O)c5ccccc5)CC4)CC3)ncc1CC2,-10.001,1,train,val,train,train,train
ZINC63552516,CCOc1ccc2c(c1)S[C@H](NC(=O)CCNS(=O)(=O)c1ccc3[nH]c(=O)ccc3c1)N2,-7.449,0,train,train,train,train,train
ZINC03081775,O=C(CNC(=O)c1ccco1)N/N=C/c1cc(I)ccc1O,-5.93,0,train,val,train,train,train
ZINC63541318,Cc1cc(C)c(NC(=O)CS[C@H]2Nc3nccnc3C(=O)N2CCC2=c3ccccc3=NC2)c(C)c1,-8.349,0,train,train,train,val,train
118725665,CC(C)C[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)O,-9.143,1,train,train,train,train,train
ZINC14996733,COc1ccc(CN2C[C@@H](Sc3ccc(F)cc3)C[C@H]2C(=O)NCc2nonc2C)c(OC)c1OC,-6.954,0,train,train,val,train,train
135403025,Cc1ccc(-n2nc(C(N)=O)c3c2-c2cn[nH]c2CC3)cc1,-8.171,1,train,train,train,val,train
145960584,COc1ccc(C(=O)NC2CCN(c3nc(C)cc(Nc4ccc(F)cc4)n3)CC2)cc1,-5.953,1,train,train,train,train,train
ZINC16856566,COC(=O)c1ccc(-n2nc(C)c3c2OC(N)=C(C#N)[C@H]3c2ccc(Br)cc2)cc1,-6.032,0,train,val,train,train,train
ZINC10785101,CCOC(=O)C1=C(CSc2nnc(-c3ccc(C)cc3)n2N)NC(=O)N[C@@H]1c1ccc(OC)cc1,-6.942,0,train,train,val,train,train
ZINC39531038,Oc1ccccc1[C@@H]1CN([C@@H](CNBr)c2ccc(Cc3ccccc3)cc2)CCN1,-7.357,0,train,train,train,val,train
ZINC24114630,C[C@H]1CC(=O)Nc2ccccc2N1C(=O)C[N@@](C)Cc1nc2ccsc2c(=O)[nH]1,-5.987,0,train,train,train,train,val
